"","x"
"486","Top2a"
"487","Tpr"
"488","Tsix"
"489","Tuba1c"
"490","Tubb5"
"491","Ubb"
"492","Ube2c"
"493","Ung"
"494","Zdbf2"
"495","0610038B21Rik;AK166159"
"496","1500004A13Rik;AK014401"
"497","1700012D14Rik;AK031468"
"498","1700034H15Rik;AK076925"
"499","1700047M11Rik;AK047804"
"500","1700066J03Rik;AK039557"
"501","1700066O22Rik;AK006909;AK016016"
"502","1700071M16Rik;AK006933"
"503","1700073E17Rik;AK006943;BC049631"
"504","1700094D03Rik;4933434E20Rik;AK217252"
"505","1700123I01Rik;AK028710"
"506","2310030G06Rik;AK011526"
"507","2410141K09Rik;AK021218;AK049221;AK145544;Zfp640"
"508","2510039O18Rik;AK206234"
"509","2610005L07Rik;5330429B09Rik;AK009182;AK035187;BC010587"
"510","2610005L07Rik;AK081879"
"511","2610301B20Rik;AK045565"
"512","2810029C07Rik;AK148849"
"513","3110062M04Rik;AK077501"
"514","3632451O06Rik;AK087604"
"515","3830408C21Rik;AK052571"
"516","4632404H12Rik;AK040741"
"517","4632427E13Rik;AK014157"
"518","4732416N19Rik;AK028613"
"519","4921511C04Rik;AK014863"
"520","4930412C18Rik;AK019984"
"521","4930455C13Rik;AK076940"
"522","4930474G06Rik;AK076658"
"523","4930513N10Rik;AK161453"
"524","4930563E22Rik;AK043242"
"525","4930579K19Rik;AK077474"
"526","4930581F22Rik;AK157006"
"527","4931406C07Rik;AK157935"
"528","4931440P22Rik;AK161073"
"529","4932438A13Rik;AK051829"
"530","4932441J04Rik;AK034221"
"531","5031425E22Rik;AK017143;AK042126"
"532","5830405F06Rik;AF012151;AF041915;AF041937;AF093862;AK018014;AK037453;AK088055;AY600448;BC034887;BC089553;DQ126341;DQ340294;EF154514;EU131397;JX277299;JX277310;JX277381;JX277430;JX277452;JX277464;JX277473;JX277492;JX520688;JX520704;JX520808;JX520840;JX520885;JX520918;KJ542623;KM066944;L27969;L27973;L27974;M11456;M13669;M13677;M14294;M16120;M30875;M30878;Tcrb;TCRB;TCRB26-8;TCRBV1, TCRBJ1S2;TCRBV1, TCRBJ2S5;Trbv12-2;Trbv13-1;Trbv13-3;Trbv19;Trbv4;Trbv5;U07660;U46841;Vb7Db1Jb1.1Cb;X03863;Z12254;Z12381;Z12592"
"533","6230400D17Rik;AK018074"
"534","6330549D23Rik;AK088233"
"535","6820431F20Rik;AK081879;AK160987;AK164389;Gm21092"
"536","9030624J02Rik;AK043149"
"537","9130011E15Rik;AK082129"
"538","9430018G01Rik;AK076571"
"539","A330033J07Rik;AK039372"
"540","A330035P11Rik;AK032758"
"541","A430035B10Rik;AK039608;AK039954"
"542","A430088P11Rik;AK038037"
"543","A930007I19Rik;AK046661"
"544","AF034160;AF093858;AK030929;AK041780;AY089788;AY089789;D12893;D12897;D16600;D16601;D16603;D45219;KC202842;KC202843;KC202844;KC202853;KC202856;KC335200;L16801;M22660;M26425;M29272;M31649;M35492;MHC V-alpha 11;Tcra;TCRA;TCR alpha /[delta];Tcra-V15;Trac;Trav11;Trav12-3;Trav14-3;Trav14d-3-dv8;Trav14n-3;Trav21-dv12;Trav4-3;Trav4-4-dv10;TRAV4D-3;Trav4d-4;Trav6-6;Trav6-7-dv9;Trav6d-7;TRAV6D-7;U21394;U83242;V-alpha 11;X02970;X05188;X14095;X55823;X93051;Z86036"
"545","AK002250"
"546","AK002417"
"547","AK002663"
"548","AK002748"
"549","AK003103"
"550","AK003208;Impad1"
"551","AK003327"
"552","AK003349"
"553","AK003663"
"554","AK003793;AY672066"
"555","AK004434;Wdr27"
"556","AK005115"
"557","AK005187;Tra2a"
"558","AK005214;Atoh7"
"559","AK005363"
"560","AK005414;Lamb3"
"561","AK005481;BC085231"
"562","AK005481;BC085231;BC086906"
"563","AK005576"
"564","AK005616;Ccdc30"
"565","AK005678;BC098228"
"566","AK005712"
"567","AK005754"
"568","AK005807"
"569","AK005833"
"570","AK005839"
"571","AK005956"
