"","BMP4_1ug","BMP4_2ug","NTC"
"Acot12",1,0,4
"Acot13",248,237,574
"Acot2",122,148,108
"Acot3",3,1,6
"Acot4",4,1,2
"Acot5",0,1,1
"Acot6",1,0,0
"Acot7",324,182,356
"Acot8",145,120,133
"Acot9",312,196,447
"Acox1",189,102,213
"Acox2",0,0,1
"Acox3",29,23,27
"Acoxl",0,3,1
"Acp2",281,254,332
"Acp5",129,57,88
"Acp6",220,220,309
"Acp7",1,1,0
"Acpp",16,8,12
"Acpt",0,0,0
"Acr",2,4,0
"Acrbp;Ing4",503,468,550
"Acrv1",0,0,2
"Acsbg1",20,7,21
"Acsbg2",0,0,0
"Acsf2",5,14,10
"Acsf3",89,93,106
"Acsl1",143,110,147
"Acsl4",470,243,624
"Acsl5",204,118,185
"Acsl6",38,46,40
"Acsm1",0,0,1
"Acsm2",1,0,1
"Acsm3",1,0,2
"Acsm4",0,1,0
"Acsm5",1,0,0
"Acss1",12,11,16
"Acss2",24,25,35
"Acss2os",0,0,0
"Acss3",6,3,5
"Acta1",9,6,4
"Acta2",130,205,51
"Actb",41656,37563,54968
"Actbl2",0,0,0
"Actc1",66,121,93
"Actg2",0,6,0
"Actl10",0,1,1
"Actl11",0,1,0
"Actl6a",1867,1512,2712
"Actl6b",3,0,3
"Actl7a",0,0,0
"Actl7b",0,2,3
"Actl9",0,0,4
"Actn1",995,959,1212
"Actn2",6,11,8
"Actn3",21,35,34
"Actn4",1774,1569,2212
"Actr1b",565,426,597
"Actr2",1886,1200,2519
"Actr3",1330,1019,1965
"Actr3b",60,70,99
"Actr6",279,207,488
"Actrt1",0,0,0
"Actrt2",0,0,0
"Actrt3",0,0,0
"Acvr1",146,109,178
"Acvr1c",2,2,1
"Acvr2a",253,197,390
"Acvr2b",1714,1494,2090
"Acy1",187,139,249
"Acy3",28,38,30
"Acyp1",202,250,308
"Acyp2",52,35,93
"Ada",70,37,80
"Adad1",4,9,3
"Adad2",3,2,4
"Adal",174,163,195
"Adam10",333,234,411
"Adam11",14,20,19
"Adam12",0,1,2
"Adam15",73,65,67
"Adam17",330,265,341
"Adam18",0,0,0
"Adam19",339,270,430
"Adam1a;Mapkapk5",454,276,575
"Adam1b",0,0,0
"Adam2",1,6,0
"Adam20",0,0,0
"Adam21",2,1,0
"Adam22",19,17,24
"Adam23",27,39,49
"Adam24",0,0,0
"Adam25",1,0,0
"Adam26a",0,0,0
"Adam26b",0,0,0
"Adam28",1,0,0
"Adam29",0,0,0
"Adam3",0,0,0
"Adam30",0,0,0
"Adam32",0,3,1
"Adam33",1,5,1
"Adam39",0,0,0
"Adam4",7,9,2
"Adam5",0,2,0
"Adam6a",0,0,0
"Adam6b",0,0,0
"Adam7",0,0,0
"Adam9",168,109,224
"Adamdec1",0,0,1
"Adamts1",45,49,72
"Adamts10",97,58,78
"Adamts12",3,1,3
"Adamts13",0,0,1
"Adamts14",4,1,2
"Adamts16",0,1,3
"Adamts17",14,22,15
"Adamts18",1,1,2
"Adamts19",12,17,17
"Adamts2",11,8,7
"Adamts20",19,22,19
"Adamts3",44,35,49
"Adamts4",14,7,4
"Adamts5",5,2,6
"Adamts6",9,11,12
"Adamts7",20,20,29
"Adamts8",6,6,12
"Adamts9",224,138,316
"Adamtsl1",2,0,0
"Adamtsl2",3,0,2
"Adamtsl3",1,0,0
"Adamtsl4",3,2,1
"Adamtsl5",1,2,0
"Adap1",79,38,45
"Adap2",5,6,3
"Adarb1",43,20,79
"Adarb2",0,0,1
"Adat1",164,126,182
"Adat2",166,137,222
"Adck1",102,70,126
"Adck2",44,41,75
"Adck3",27,68,24
"Adck4",45,62,54
"Adck5",95,95,101
"Adcy1",35,18,45
"Adcy10",12,4,11
"Adcy2",3,1,5
"Adcy3",98,97,110
"Adcy4",12,7,8
"Adcy5",12,18,7
"Adcy6",116,119,129
"Adcy7",31,29,29
"Adcy8",11,5,6
"Adcy9",18,12,10
"Adcyap1",6,9,6
"Adcyap1r1",49,90,104
"Add1",439,432,501
"Add2",20,10,13
"Add3",457,453,600
"Adgb",1,7,1
"Adgra1",1,3,0
"Adgra2",54,31,56
"Adgra3",683,520,1114
"Adgrb1",13,22,19
"Adgrb2",19,29,24
"Adgrb3",2,7,4
"Adgrd1",4,0,1
"Adgre1",0,0,0
"Adgre4",0,0,0
"Adgre5",27,31,42
"Adgrf1",0,0,0
"Adgrf2",0,0,0
"Adgrf3",0,0,0
"Adgrf4",1,0,0
"Adgrf5",176,70,93
"Adgrg2",1,2,3
"Adgrg3",4,3,2
"Adgrg4",1,2,1
"Adgrg5",3,2,2
"Adgrg6",17,10,11
"Adgrg7",1,0,0
"Adgrl1",384,297,498
"Adgrl2",1150,730,1312
"Adgrl3",7,5,8
"Adgrl4",0,0,1
"Adgrv1",34,22,46
"Adh1",0,0,2
"Adh4",0,1,0
"Adh5",2282,1936,3520
"Adh6-ps1",0,0,0
"Adh6a",0,2,0
"Adh6b",0,0,0
"Adh7",1,0,0
"Adhfe1",2,13,5
"Adig",3,2,1
"Adipoq",0,2,1
"Adipor1",1011,801,1450
"Adipor2",766,508,1078
"Adk",1069,817,1767
"Adm",535,296,307
"Adm2",61,102,84
"Ado",685,488,958
"Adora1",40,28,29
"Adora2a",0,0,3
"Adora2b",49,40,56
"Adora3;Tmigd3",1,0,1
"Adpgk",352,406,406
"Adprh",517,536,508
"Adprhl1",0,1,0
"Adprhl2",75,55,109
"Adprm",147,138,270
"Adra1a",1,1,1
"Adra1b",3,7,2
"Adra1d",0,1,0
"Adra2a",25,31,25
"Adra2b",69,58,45
"Adra2c",8,9,3
"Adrb1",15,15,13
"Adrb2",2,5,16
"Adrb3",47,89,90
"Adrbk1",458,351,512
"Adrbk2",60,78,96
"Adrm1",407,260,652
"Adsl",1310,972,1673
"Adss",1984,1531,2669
"Adssl1",27,34,38
"Adtrp",2,0,1
"Aebp1",61,57,60
"Aebp2;BC008224",541,275,769
"Aen",29,22,44
"Aes",280,269,457
"Afap1",151,86,155
"Aff1",254,172,328
"Aff3",95,78,162
